depth	poynting vector s	poynting vector p	poynting vector	absorption
nm	W/m^2	W/m^2	W/m^2	1/(s*m^3)
525	262.7542143490951	262.7542143490951	525.5084286981902	1.441018389708682E+28
532.5	246.29261481498185	246.29261481498185	492.5852296299637	1.2574265111668666E+28
540	232.28361842550171	232.28361842550171	464.56723685100343	1.113172849499303E+28
547.5	220.1615018857772	220.1615018857772	440.3230037715544	9.972807553310938E+27
555	209.52021145710708	209.52021145710708	419.04042291421416	9.02107231601706E+27
562.5	200.06479296259616	200.06479296259616	400.1295859251923	8.223191249900473E+27
570	191.57800188866833	191.57800188866833	383.15600377733665	7.54195455604308E+27
577.5	183.8972043274786	183.8972043274786	367.7944086549572	6.951484597702121E+27
585	176.89828999022927	176.89828999022927	353.79657998045855	6.433910572684677E+27
592.5	170.48439800904455	170.48439800904455	340.9687960180891	5.977021246164115E+27
600	164.57798040904768	164.57798040904768	329.15596081809537	5.572570379469805E+27
607.5	159.11521316891108	159.11521316891108	318.23042633782217	5.215019766057379E+27
615	154.0420879245616	154.0420879245616	308.0841758491232	4.90058097253179E+27
622.5	149.31173035256583	149.31173035256583	298.62346070513166	4.626469591840383E+27
630	144.88262921032376	144.88262921032376	289.7652584206475	4.390321862987722E+27
637.5	140.7175471605104	140.7175471605104	281.4350943210208	4.189747303721226E+27
645	136.78293797344526	136.78293797344526	273.5658759468905	4.0220054787224E+27
652.5	133.048726797352	133.048726797352	266.097453594704	3.883802286985848E+27
660	129.48832988561384	129.48832988561384	258.9766597712277	3.7712028674637526E+27
667.5	126.0788039745602	126.0788039745602	252.1576079491204	3.679655870474639E+27
675	122.80102796122802	122.80102796122802	245.60205592245603	3.604118831076089E+27
682.5	119.63983354134044	119.63983354134044	239.27966708268087	3.539268074760476E+27
690	116.5840185165737	116.5840185165737	233.1680370331474	3.4797702767002364E+27
697.5	113.62619682934837	113.62619682934837	227.25239365869675	3.4205876327695336E+27
705	110.76246229353058	110.76246229353058	221.52492458706115	3.357285509936216E+27
712.5	107.99186697395713	107.99186697395713	215.98373394791426	3.286311053101159E+27
720	105.31573828050063	105.31573828050063	210.63147656100125	3.205213810648431E+27
727.5	102.7368789849101	102.7368789849101	205.4737579698202	3.1127849041137587E+27
735	100.25870959078637	100.25870959078637	200.51741918157273	3.009099154178495E+27
742.5	97.88442125654214	97.88442125654214	195.76884251308428	2.8954541297300057E+27
750	95.61620888431162	95.61620888431162	191.23241776862324	2.7742103395024096E+27
757.5	93.45464790057827	93.45464790057827	186.90929580115653	2.6485466656964387E+27
765	91.39826532129067	91.39826532129067	182.79653064258133	2.5221535967576333E+27
772.5	89.44333731133933	89.44333731133933	178.88667462267867	2.3988929459988573E+27
780	87.58392360665258	87.58392360665258	175.16784721330515	2.2824558858583516E+27
787.5	85.81212623678847	85.81212623678847	171.62425247357695	2.1760509508418104E+27
795	84.11853845234042	84.11853845234042	168.23707690468083	2.0821501962988378E+27
802.5	82.49283194874151	82.49283194874151	164.98566389748302	2.00231533759185E+27
810	80.92441828813928	80.92441828813928	161.84883657627856	1.9371171452597798E+27
817.5	79.40311512157159	79.40311512157159	158.80623024314318	1.886151584331318E+27
825	77.91974989792051	77.91974989792051	155.83949979584102	1.8481462379838561E+27
832.5	76.46664288107993	76.46664288107993	152.93328576215987	1.821141533245416E+27
840	75.03792636612297	75.03792636612297	150.07585273224595	1.802724160619062E+27
847.5	73.62967622134859	73.62967622134859	147.25935244269718	1.7902855975633488E+27
855	72.23985307325682	72.23985307325682	144.47970614651365	1.7812772476048398E+27
862.5	70.8680711948212	70.8680711948212	141.7361423896424	1.7734354774983515E+27
870	69.51523114198476	69.51523114198476	139.0304622839695	1.7649544979410865E+27
877.5	68.18306545214342	68.18306545214342	136.36613090428685	1.7545919867344137E+27
885	66.87365389240686	66.87365389240686	133.74730778481373	1.7417007424629806E+27
892.5	65.58896517728091	65.58896517728091	131.17793035456182	1.726188477608324E+27
900	64.33047591578256	64.33047591578256	128.66095183156511	1.708416078626673E+27
907.5	63.09890571651395	63.09890571651395	126.1978114330279	1.6890513357373267E+27
915	61.89409144360308	61.89409144360308	123.78818288720616	1.668899539007967E+27
922.5	60.71500559481407	60.71500559481407	121.43001118962815	1.6487339999790416E+27
930	59.559905884059965	59.559905884059965	119.11981176811993	1.6291483771559816E+27
937.5	58.42658750112408	58.42658750112408	116.85317500224816	1.610448891929803E+27
945	57.3126980077588	57.3126980077588	114.6253960155176	1.59259866202718E+27
952.5	56.21606868094947	56.21606868094947	112.43213736189894	1.575219233619038E+27
960	55.13501590880659	55.13501590880659	110.27003181761317	1.5576468789140963E+27
967.5	54.06857181186926	54.06857181186926	108.13714362373852	1.539034281868034E+27
975	53.01661372236326	53.01661372236326	106.03322744472652	1.5184827016249173E+27
982.5	51.97987604398027	51.97987604398027	103.95975208796054	1.4951862217589678E+27
990	50.95984349098584	50.95984349098584	101.91968698197168	1.4685686268873392E+27
997.5	49.95853978713433	49.95853978713433	99.91707957426866	1.4383948449882703E+27
1005	48.97823873196885	48.97823873196885	97.9564774639377	1.404842489963358E+27
1012.5	48.02113361002927	48.02113361002927	96.04226722005853	1.3685243030802152E+27
1020	47.08900525911928	47.08900525911928	94.17801051823857	1.3304585032019912E+27
1027.5	46.182928398388825	46.182928398388825	92.36585679677765	1.2919904054894327E+27
1035	45.30305037012048	45.30305037012048	90.60610074024096	1.2546743691998974E+27
1042.5	44.44846717345559	44.44846717345559	88.89693434691118	1.2201295230263938E+27
1050	43.61720989514028	43.61720989514028	87.23441979028055	1.1898853301089971E+27
1057.5	42.806341931554535	42.806341931554535	85.61268386310907	1.1652336848835586E+27
1065	42.01215531694634	42.01215531694634	84.02431063389268	1.1471029331509427E+27
1072.5	41.23044439700519	41.23044439700519	82.46088879401039	1.1359662643807939E+27
1080	40.45682802546181	40.45682802546181	80.91365605092362	1.131792809977577E+27
1087.5	39.68708796275476	39.68708796275476	79.37417592550952	1.1340450635777392E+27
1095	38.91749127854779	38.91749127854779	77.83498255709559	1.141721506507201E+27
1102.5	38.14506791730406	38.14506791730406	76.29013583460812	1.1534390971991041E+27
1110	37.367820449845205	37.367820449845205	74.73564089969041	1.1675469657709946E+27
1117.5	36.58485047561776	36.58485047561776	73.16970095123553	1.1822604791070127E+27
1125	35.79639418611536	35.79639418611536	71.59278837223071	1.195803870864164E+27
1132.5	35.00376737031419	35.00376737031419	70.00753474062839	1.2065497744052947E+27
1140	34.209226960123495	34.209226960123495	68.41845392024699	1.2131450499379568E+27
1147.5	33.41576166019978	33.41576166019978	66.83152332039955	1.214613992142066E+27
1155	32.62682813277593	32.62682813277593	65.25365626555185	1.2104320634844911E+27
1162.5	31.8460516955128	31.8460516955128	63.6921033910256	1.200565479830304E+27
1170	31.07691177853487	31.07691177853487	62.15382355706974	1.1854741063269989E+27
1177.5	30.322432784767994	30.322432784767994	60.64486556953599	1.166077114366378E+27
1185	29.584900792773993	29.584900792773993	59.16980158554799	1.1436826978312034E+27
1192.5	28.86562592136949	28.86562592136949	57.73125184273898	1.1198849056936432E+27
1200	28.16476917465644	28.16476917465644	56.32953834931288	1.0964324095985456E+27
1207.5	27.48125106217669	27.48125106217669	54.96250212435338	1.0750758784622604E+27
1215	26.812756934086405	26.812756934086405	53.62551386817281	1.0574026254230402E+27
1222.5	26.15585036091033	26.15585036091033	52.31170072182066	1.0446692960622327E+27
1230	25.506200563410808	25.506200563410808	51.012401126821615	1.0376454440132534E+27
1237.5	24.85892248339358	24.85892248339358	49.71784496678716	1.0364826308459945E+27
1245	24.209018421599666	24.209018421599666	48.41803684319933	1.040624810883274E+27
1252.5	23.55189845543613	23.55189845543613	47.10379691087226	1.0487757452730522E+27
1260	22.883943774167204	22.883943774167204	45.76788754833441	1.058937525055105E+27
1267.5	22.203063882589735	22.203063882589735	44.40612776517947	1.0685305143721201E+27
1275	21.50918713583912	21.50918713583912	43.01837427167824	1.07459886107165E+27
1282.5	20.80461653101154	20.80461653101154	41.60923306202308	1.0740971594945136E+27
1290	20.094181545309876	20.094181545309876	40.18836309061975	1.0642432884734921E+27
1297.5	19.385124344671183	19.385124344671183	38.77024868934237	1.0429107660850388E+27
1305	18.68667650413471	18.68667650413471	37.37335300826942	1.009022533394942E+27
1312.5	18.00931092521973	18.00931092521973	36.01862185043946	9.62898686368301E+26
1320	17.363691723552332	17.363691723552332	34.727383447104664	9.065053274053745E+26
1327.5	16.759389391881985	16.759389391881985	33.51877878376397	8.43552349110797E+26
1335	16.203474487680996	16.203474487680996	32.40694897536199	7.793961032736025E+26
1342.5	15.699143833747518	15.699143833747518	31.398287667495037	7.207192322691787E+26
1350	15.244561292140029	15.244561292140029	30.489122584280057	6.749839614083647E+26
1357.5	14.832103359986966	14.832103359986966	29.664206719973933	6.496849941398779E+26
1365	14.448182487966225	14.448182487966225	28.89636497593245	6.514605426106529E+26
1372.5	14.07377539209053	14.07377539209053	28.14755078418106	6.851505352532804E+26
1380	13.685710986791504	13.685710986791504	27.371421973583008	7.529146035906026E+26
1387.5	13.258678814205036	13.258678814205036	26.51735762841007	8.535341001168589E+26
1395	12.767814416651898	12.767814416651898	25.535628833303797	9.820181569962104E+26
1402.5	12.191617032667457	12.191617032667457	24.383234065334914	1.1296115296364022E+27
1410	11.51487318189279	11.51487318189279	23.02974636378558	1.284262091027345E+27
1417.5	10.731212510164722	10.731212510164722	21.462425020329444	1.4315516646029648E+27
1425	9.844921874523477	9.844921874523477	19.689843749046954	1.55603152012453E+27
1432.5	8.8716965383833	8.8716965383833	17.7433930767666	1.6428416154346116E+27
1440	7.838112422299501	7.838112422299501	15.676224844599002	1.6794399604064548E+27
1447.5	6.779751133657389	6.779751133657389	13.559502267314778	1.6572344009489094E+27
1455	5.738082660844437	5.738082660844437	11.476165321688875	1.5729008887738377E+27
1462.5	4.756385980054991	4.756385980054991	9.512771960109982	1.4291938466745803E+27
1470	3.8751395375677986	3.8751395375677986	7.750279075135597	1.2351052004390373E+27
1477.5	3.127417111781124	3.127417111781124	6.254834223562248	1.00530401854417E+27
1485	2.534860859286969	2.534860859286969	5.069721718573938	7.58879228715033E+26
1492.5	2.1047623495858905	2.1047623495858905	4.209524699171781	5.1750124769893394E+26
1500	1.828665332118762	1.828665332118762	3.657330664237524	3.0320097459297786E+26
1507.5	0.9783242120076694	0.9783242120076694	1.9566484240153388	1.3347059301491707E+27
1515	0.5259692456710281	0.5259692456710281	1.0519384913420562	7.225640454101303E+26
1522.5	0.2844859411151415	0.2844859411151415	0.568971882230283	3.9410746526414756E+26
1530	0.15501290474674723	0.15501290474674723	0.31002580949349445	2.169008042980603E+26
1537.5	0.08522217234037405	0.08522217234037405	0.1704443446807481	1.2065493512586746E+26
1545	0.047354331816195035	0.047354331816195035	0.09470866363239007	6.79570942843856E+25
1552.5	0.02664268711808448	0.02664268711808448	0.05328537423616896	3.882322046036987E+25
1560	0.015205247092812194	0.015205247092812194	0.030410494185624387	2.2532458907569913E+25
1567.5	0.008817107696631752	0.008817107696631752	0.017634215393263503	1.3302785706318491E+25
1575	0.0052018583185420315	0.0052018583185420315	0.010403716637084063	7.995579409545053E+24
1582.5	0.0031251291594450985	0.0031251291594450985	0.006250258318890197	4.893750071042949E+24
1590	0.001912399090991092	0.001912399090991092	0.003824798181982184	3.0490860147725804E+24
1597.5	0.0011916385675058872	0.0011916385675058872	0.0023832771350117744	1.9321706407500316E+24
1605	0.0007553892086391329	0.0007553892086391329	0.0015107784172782657	1.2436273902505887E+24
1612.5	0.0004864780210784881	0.0004864780210784881	0.0009729560421569762	8.117081873942456E+23
1620	0.0003177590090168742	0.0003177590090168742	0.0006355180180337484	5.363063930627126E+23
1627.5	0.0002101318484422554	0.0002101318484422554	0.0004202636968845108	3.580712894315018E+23
1635	0.00014043167768429762	0.00014043167768429762	0.00028086335536859524	2.4118735803173484E+23
1642.5	9.46858584767471E-05	9.46858584767471E-05	0.0001893717169534942	1.6365334738970854E+23
1650	6.431244009369517E-05	6.431244009369517E-05	0.00012862488018739035	1.1171757914561918E+23
