wavelength	AM1.5G	GaInAs	AZO	reflected	transmitted
1.503E-06	184930000	0.3931305598309238	0.05474635712378244	0.5436457855975684	0.008477297447725494
1.504E-06	160290000	0.3959490313309596	0.054705733703146076	0.540783321642339	0.008561913323555319
1.505E-06	184020000	0.39885752938729935	0.05466750354196026	0.5378568673975002	0.008618099673240053
1.506E-06	257730000	0.401831269408602	0.05463133489792399	0.5348602203423368	0.008677175351137266
1.507E-06	255140000	0.40487114932254004	0.05459660335231302	0.5317648177999322	0.008767429525214782
1.508E-06	243020000	0.4079952791762187	0.05456434463837354	0.5286103603418995	0.00883001584350846
1.509E-06	186900000	0.41118694294571323	0.054533503771830326	0.525355309407441	0.008924243875015439
1.51E-06	270520000	0.41447503350504555	0.054505058487375885	0.5220307726974279	0.0089891353101507
1.511E-06	264740000	0.4178317887639592	0.05447862393936519	0.5186325327780567	0.009057054518619122
1.512E-06	260680000	0.42125817363728024	0.05445357873411478	0.5151308993594015	0.009157348269203346
1.513E-06	242390000	0.4247743466997982	0.05443099427140109	0.5115656370430163	0.009229021985784494
1.514E-06	225710000	0.4283717159946693	0.0544103287397251	0.507915465188669	0.009302490076936693
1.515E-06	265730000	0.43205190214798	0.05439097318159369	0.5041493444250577	0.009407780245368673
1.516E-06	256830000	0.435814400708173	0.054374129605176895	0.500326325168498	0.00948514451815203
1.517E-06	249290000	0.43964987953400797	0.05435862667372077	0.49639526656494654	0.009596227227324691
1.518E-06	252110000	0.4435808741239488	0.054345579783285615	0.4923959487659409	0.009677597326824739
1.519E-06	244370000	0.44759758105117065	0.054334425970269086	0.4883071205407091	0.009760872437851112
1.52E-06	264500000	0.4516890822368905	0.05432458161197985	0.48410758997021386	0.009878746180915637
1.521E-06	275050000	0.4558921249566728	0.054317168887539125	0.47982592858626	0.009964777569528205
1.522E-06	263780000	0.4601710763582631	0.05431166185648501	0.4754630965603407	0.01005416522491115
1.523E-06	280040000	0.4645263870997699	0.05430743060087986	0.4709871019030446	0.010179080396305657
1.524E-06	275390000	0.4689839365163318	0.054305655090227584	0.4664376466801651	0.01027276171327563
1.525E-06	258840000	0.4735186903643255	0.05430513074070956	0.46177355555665145	0.010402623338313516
1.526E-06	267450000	0.4781716763653586	0.05430706150604153	0.4570220207227878	0.010499241405812048
1.527E-06	262200000	0.4829029713857925	0.05431084443345925	0.45218681995930426	0.010599364221444014
1.528E-06	279280000	0.48771236177581834	0.05431583777733622	0.4472351173912477	0.010736683055597794
1.529E-06	272440000	0.49262896539454676	0.05432328561703547	0.44220643584594144	0.01084131314247633
1.53E-06	255220000	0.4976239340613391	0.05433191322453535	0.43706030430600784	0.010983848408117685
1.531E-06	269730000	0.5027430646824214	0.05434301723848374	0.4318223689897643	0.011091549089330523
1.532E-06	278390000	0.5079416269897038	0.05435590847426045	0.4264995785927123	0.01120288594332349
1.533E-06	277140000	0.513218362818492	0.054369927427074444	0.421058485112843	0.01135322464159043
